Datetime,Open,High,Low,Close,intvwap,Volume,v
12-05-2023 13:00,1663.8,1664.7,1662,1662.4,1663.26,369744,5253115
12-05-2023 13:15,1662.45,1666.35,1662,1662.25,1663.82,1164424,6417539
12-05-2023 13:30,1662.35,1667.7,1662.35,1667.5,1664.78,817215,7234754
12-05-2023 13:45,1667.55,1668.75,1665.05,1667.6,1667.38,501858,7736612
12-05-2023 14:00,1668,1670.7,1667.5,1667.5,1669.19,609233,8345845
12-05-2023 14:15,1668.65,1671.35,1667.25,1670.2,1669.42,726918,9072763
12-05-2023 14:30,1670.25,1672.75,1668.15,1670.4,1670.15,624759,9697522
12-05-2023 14:45,1670.7,1671.55,1667.75,1670.05,1669.96,534426,10231948
12-05-2023 15:00,1669.95,1671.4,1666.55,1668.3,1668.42,569065,10801013
12-05-2023 15:15,1668.4,1668.8,1665.15,1667.95,1667.11,437571,11238584
15-05-2023 09:15,1668.65,1676.8,1665.1,1674.6,1672.55,843337,843337
15-05-2023 09:30,1675,1677.85,1673,1676.65,1675.82,398848,1242185
15-05-2023 09:45,1676.7,1679.25,1675.25,1677.1,1677.58,729248,1971433
15-05-2023 10:00,1677.25,1677.95,1675.8,1676.95,1676.6,137946,2109379
15-05-2023 10:15,1676.6,1677.25,1675,1675.05,1676.24,317935,2427314
15-05-2023 10:30,1675.7,1677.75,1675,1676.65,1676.13,159013,2586327
15-05-2023 10:45,1676.6,1678.35,1672.4,1676.5,1675.36,774456,3360783
15-05-2023 11:00,1676.4,1679.8,1676.4,1678.7,1678.08,682951,4043734
15-05-2023 11:15,1678.6,1678.7,1677.2,1678.3,1678.19,69558,4113292
15-05-2023 11:30,1678.25,1679.85,1676.95,1678.25,1678.81,365032,4478324
15-05-2023 11:45,1678.35,1679.4,1677.5,1677.6,1678.23,267251,4745575
15-05-2023 12:00,1677.75,1679.55,1677.05,1677.15,1678.15,287802,5033377
15-05-2023 12:15,1677.2,1677.65,1676.7,1677.3,1676.99,77800,5111177
15-05-2023 12:30,1677.2,1678.1,1676.2,1677.5,1676.95,175328,5286505
15-05-2023 12:45,1677.7,1678.25,1674.8,1676.8,1676.36,588956,5875461
15-05-2023 13:00,1677.15,1677.95,1674.4,1676.4,1676.52,403830,6279291
15-05-2023 13:15,1676.8,1676.95,1674.5,1675.4,1675.42,347878,6627169
15-05-2023 13:30,1675.95,1679.7,1675.1,1678.7,1677.9,216395,6843564
15-05-2023 13:45,1678.8,1679.95,1678.15,1679.4,1679.48,157901,7001465
15-05-2023 14:00,1679.45,1680.7,1678.45,1680.05,1679.46,366331,7367796
15-05-2023 14:15,1680,1680.75,1676.15,1677.05,1678.92,400298,7768094
15-05-2023 14:30,1677.15,1677.5,1675.15,1676.2,1676.33,422007,8190101
15-05-2023 14:45,1676.3,1677.15,1675.15,1675.7,1676.34,235656,8425757
15-05-2023 15:00,1675.8,1676.55,1673.6,1676.2,1675.23,490580,8916337
15-05-2023 15:15,1676.4,1678,1674.8,1677,1676.6,339507,9255844
16-05-2023 09:15,1667.5,1667.5,1653.95,1656.8,1659.2,1503284,1503284
16-05-2023 09:30,1656.65,1658.35,1653.2,1657,1655.86,811473,2314757
16-05-2023 09:45,1657.65,1659.7,1656.4,1657.05,1658.22,611856,2926613
16-05-2023 10:00,1657,1661.25,1656.35,1661,1659.26,422301,3348914
16-05-2023 10:15,1661.15,1661.2,1657.1,1657.45,1659.46,427718,3776632
16-05-2023 10:30,1657.4,1658.5,1654.2,1658.45,1655.97,627403,4404035
16-05-2023 10:45,1658.35,1658.85,1657,1658.15,1657.67,412216,4816251
16-05-2023 11:00,1658.2,1659.35,1654.65,1657.6,1657.79,817487,5633738
16-05-2023 11:15,1657.65,1658.3,1655.55,1656.1,1656.95,292483,5926221
16-05-2023 11:30,1656.15,1659.55,1656,1658.5,1657.18,725777,6651998
16-05-2023 11:45,1658.7,1659.5,1656.05,1656.15,1658.41,366694,7018692
